College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Seth Gyaniram Bansidhar Podar College,Jhunjhunu,Rajasthan,['AICTE'],7.65660021632521,0.282664586825248,https://images.collegedunia.com/public/college_data/images/logos/1426145915rajasthan.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4168_SGBPC_NEW.jpg,0,[],[],,[],0,Private,Full Time,3
Seth Kesarimal Porwal College,Nagpur,Maharashtra,[],7.656600216325211,0.2827255453300626,https://images.collegedunia.com/public/college_data/images/logos/1426150434mhavidhyalay.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4169_SKPC_NEW.jpg,3818,[],[],,"['Classrooms', 'Library', 'Sports', 'Comp Labs', 'Laboratory', 'Auditorium']",0,Private,Full Time,3
Seth Phoolchand Agrawal Smriti College,Raipur,Chhattisgarh,['UGC'],7.65660021632521,0.2827865169809856,https://images.collegedunia.com/public/college_data/images/logos/1496900849logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1496900913cover.png,14200,[],[],,"['Library', 'Comp Labs', 'Laboratory', 'Cafeteria', 'Auditorium', 'Sports', 'Classrooms', 'Hostel', 'Medical']",0,Private,Full Time,3
Sevadal Mahila Mahavidyala,Nagpur,Maharashtra,[],7.656600216325209,0.2828475017808521,https://images.collegedunia.com/public/college_data/images/logos/col4179.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4179_SMM_NEW.jpg,2745,[],[],,"['Library', 'Comp Labs', 'Laboratory', 'Cafeteria', 'Auditorium', 'Sports']",0,Private,Full Time,3
Sewnarayana Rameswar Fatepuria College,Kolkata,West Bengal,['UGC'],7.65660021632521,0.2829084997324977,https://images.collegedunia.com/public/college_data/images/logos/1488283617logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1488285222cover.jpg,2970,[],[],,"['Library', 'Comp Labs', 'Laboratory', 'Cafeteria', 'Auditorium', 'Sports', 'Classrooms']",0,Government,Full Time,3
Shah Satnam Ji PG Boy's College,Sirsa,Haryana,['AICTE'],7.656600216325209,0.2829695108387588,https://images.collegedunia.com/public/college_data/images/logos/1426155448boys.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4190_SSJBC_NEW.jpg,0,[],[],,[],0,Private,Full Time,3
Shaheed Bhagat Singh College - [SBSC],New Delhi,Delhi NCR,[],7.65660021632521,0.2830305351024721,https://images.collegedunia.com/public/college_data/images/logos/col4192.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4192_SBSC_New.jpg,7055,[],"[{'year': '2020', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",cuet,"['Hostel', 'Medical', 'Gym', 'Sports', 'Library', 'Laboratory', 'Cafeteria', 'Auditorium', 'Comp Labs', 'Classrooms', 'Security']",0,Government,Full Time,3
Shahzada Nand College,Amritsar,Punjab,[],7.65660021632521,0.2830915725264753,https://images.collegedunia.com/public/college_data/images/logos/1426761909logo1.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4201_SNC_NEW.jpg,0,[],[],,"['Comp Labs', 'Library', 'Hostel', 'Medical']",0,Government,Full Time,3
"Shankarlal Khandelwal Arts,Science & Commerce College",Akola,Maharashtra,[],7.656600216325209,0.2831526231136063,https://images.collegedunia.com/public/college_data/images/logos/16363759182775037719805875422614513068878077756480611n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4208_SKC_NEW.jpg,3524,[],[],,"['Comp Labs', 'Library', 'Sports', 'Medical', 'Hostel', 'Laboratory', 'Cafeteria', 'Auditorium']",0,Private,Full Time,3
Shanthi Degree College,Mandya,Karnataka,['UGC'],7.65660021632521,0.2832136868667039,https://images.collegedunia.com/public/college_data/images/logos/1426158923shanti.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4212_SDC_NEW.jpg,0,[],[],,[],0,Private,Full Time,3
